e, e_dot, e_int, stamp, 
-2.790299195437778, 1.096522393581546e-07, -0.18974034566512957, 451181000000, 
-2.790299190083572, 1.051931962016553e-07, -0.18974034529025158, 451215000000, 
-2.7879451313107038, 0.011539556280785549, -0.28453047957228983, 451283000000, 
-2.7287072706140263, 0.20512728384307174, -0.4707272568804705, 451385000000, 
-2.6066868322172634, 0.5923473826583019, -0.5523870679216556, 451487000000, 
-2.4906210872344903, 0.9677093329115115, -0.4434741941037275, 451555000000, 
-2.2711844740402327, 1.286062845321625, -0.4175479022978792, 451657000000, 
-2.052596269566242, 1.431453652510615, -0.4633793244971856, 451759000000, 
-1.8400595732243232, 1.4089049046271551, -0.4191411415444942, 451861000000, 
-1.6383502911480599, 1.3537450275103995, -0.37610841710782644, 451963000000, 
-1.444188103708223, 1.2936976127977136, -0.33473666182948114, 452065000000, 
-1.2819633478885244, 1.1646632132664558, -0.2967861185066468, 452167000000, 
-1.1783619929600504, 1.0379960399098351, -0.22125576185821852, 452235000000, 
-1.0363123220454167, 0.9720643898932834, -0.19814280089732617, 452337000000, 
-0.9040284864312518, 0.8965147272182961, -0.21207179049769684, 452439000000, 
-0.7867718589257399, 0.8154917095414275, -0.18544366138336374, 452541000000, 
-0.683509645331075, 0.7206498075169175, -0.16145307936678852, 452643000000, 
-0.5944484129882103, 0.6285079932599006, -0.14040163437266168, 452745000000, 
-0.5210845584051566, 0.5308009376664004, -0.12233489793726203, 452847000000, 
-0.45706479619971885, 0.44896606793624655, -0.10693664819632981, 452949000000, 
-0.401667689875595, 0.39025120434497246, -0.09382755902467198, 453051000000, 
-0.3673005714273586, 0.3495025620799948, -0.0694752065918181, 453119000000, 
-0.3234129481973652, 0.3118898722298952, -0.06190160187168474, 453221000000, 
-0.28480641700375076, 0.2695887399464309, -0.06633535569073626, 453323000000, 
-0.2511850820020516, 0.2360387784160576, -0.05843950240981539, 453425000000, 
-0.2215688418597268, 0.20665874230073186, -0.05151410317885598, 453527000000, 
-0.20419396634393672, 0.18195605691506508, -0.03836038044499052, 453595000000, 
